Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Payment,Rating
C,Naypyitaw,Member,Male,Fashion accessories,34.75,4,145.95,Ewallet,8.4
C,Naypyitaw,Member,Female,Health and beauty,12.68,4,53.26,Ewallet,7.0
A,Yangon,Member,Female,Electronic accessories,50.43,5,264.76,Ewallet,8.6
A,Yangon,Normal,Female,Home and lifestyle,23.99,6,151.14,Ewallet,4.6
A,Yangon,Normal,Female,Food and beverages,33.81,1,35.5,Credit card,6.8
A,Yangon,Normal,Male,Food and beverages,36.39,10,382.09,Cash,7.5
C,Naypyitaw,Member,Male,Fashion accessories,30.51,5,160.18,Ewallet,9.1
A,Yangon,Normal,Female,Sports and travel,67.21,6,423.42,Ewallet,6.2
A,Yangon,Normal,Male,Food and beverages,67.15,9,634.57,Credit card,5.5
B,Mandalay,Normal,Female,Fashion accessories,71.93,4,302.11,Credit card,5.9
A,Yangon,Member,Male,Home and lifestyle,46.1,2,96.81,Ewallet,9.5
C,Naypyitaw,Normal,Male,Fashion accessories,54.93,8,461.41,Ewallet,5.6
A,Yangon,Normal,Female,Food and beverages,45.95,4,192.99,Ewallet,7.1
A,Yangon,Member,Male,Electronic accessories,66.47,7,488.55,Credit card,4.4
B,Mandalay,Normal,Female,Food and beverages,87.47,1,91.84,Credit card,8.3
C,Naypyitaw,Normal,Female,Health and beauty,36.42,3,114.72,Cash,4.0
C,Naypyitaw,Normal,Male,Food and beverages,92.14,5,483.74,Credit card,7.0
A,Yangon,Member,Female,Electronic accessories,58.54,9,553.2,Ewallet,7.6
B,Mandalay,Member,Male,Home and lifestyle,89.08,5,467.67,Ewallet,4.3
C,Naypyitaw,Member,Male,Fashion accessories,53.74,2,112.85,Credit card,8.6
A,Yangon,Normal,Male,Home and lifestyle,57.49,10,603.64,Cash,9.8
C,Naypyitaw,Member,Female,Sports and travel,99.56,6,627.23,Cash,9.4
B,Mandalay,Member,Male,Electronic accessories,15.76,1,16.55,Credit card,7.3
C,Naypyitaw,Member,Male,Health and beauty,73.71,1,77.4,Ewallet,4.4
A,Yangon,Normal,Male,Food and beverages,31.42,8,263.93,Ewallet,7.2
C,Naypyitaw,Normal,Male,Sports and travel,82.67,4,347.21,Ewallet,4.6
B,Mandalay,Normal,Female,Sports and travel,52.03,1,54.63,Credit card,7.9
C,Naypyitaw,Member,Male,Sports and travel,75.54,2,158.63,Ewallet,5.1
C,Naypyitaw,Normal,Male,Sports and travel,26.51,8,222.68,Ewallet,9.2
A,Yangon,Normal,Male,Health and beauty,68.69,9,649.12,Ewallet,9.8
A,Yangon,Member,Female,Sports and travel,53.32,7,391.9,Ewallet,5.0
A,Yangon,Normal,Female,Sports and travel,35.67,9,337.08,Credit card,8.3
A,Yangon,Member,Female,Electronic accessories,97.18,10,1020.39,Credit card,7.3
C,Naypyitaw,Normal,Male,Health and beauty,62.58,9,591.38,Credit card,4.9
C,Naypyitaw,Member,Male,Health and beauty,63.55,4,266.91,Cash,4.7
C,Naypyitaw,Member,Male,Food and beverages,17.38,10,182.49,Credit card,7.1
B,Mandalay,Member,Female,Electronic accessories,33.91,3,106.82,Credit card,7.9
B,Mandalay,Normal,Male,Health and beauty,51.25,10,538.12,Ewallet,4.4
A,Yangon,Normal,Male,Home and lifestyle,89.28,4,374.98,Cash,5.7
B,Mandalay,Normal,Male,Fashion accessories,83.54,5,438.59,Credit card,4.6
A,Yangon,Normal,Male,Health and beauty,76.82,3,241.98,Cash,5.7
A,Yangon,Normal,Male,Fashion accessories,67.08,5,352.17,Credit card,6.9
A,Yangon,Member,Female,Home and lifestyle,13.97,6,88.01,Ewallet,7.8
B,Mandalay,Member,Female,Food and beverages,73.51,9,694.67,Ewallet,4.7
C,Naypyitaw,Member,Male,Home and lifestyle,62.43,3,196.65,Cash,4.8
B,Mandalay,Normal,Male,Home and lifestyle,28.91,4,121.42,Credit card,4.6
C,Naypyitaw,Normal,Male,Electronic accessories,87.81,3,276.6,Cash,4.1
C,Naypyitaw,Normal,Female,Fashion accessories,87.77,4,368.63,Cash,5.0
C,Naypyitaw,Member,Female,Health and beauty,87.27,4,366.53,Ewallet,8.9
B,Mandalay,Normal,Female,Electronic accessories,30.06,4,126.25,Cash,6.0
A,Yangon,Normal,Female,Fashion accessories,55.85,9,527.78,Cash,9.6
A,Yangon,Normal,Male,Food and beverages,96.63,5,507.31,Ewallet,4.7
B,Mandalay,Normal,Female,Sports and travel,64.56,9,610.09,Ewallet,6.3
C,Naypyitaw,Member,Female,Health and beauty,73.79,1,77.48,Credit card,9.6
C,Naypyitaw,Member,Female,Sports and travel,16.3,6,102.69,Credit card,5.9
A,Yangon,Normal,Female,Fashion accessories,46.76,7,343.69,Credit card,5.8
A,Yangon,Member,Female,Fashion accessories,94.63,3,298.08,Credit card,7.4
B,Mandalay,Member,Female,Home and lifestyle,28.92,10,303.66,Credit card,7.9
B,Mandalay,Normal,Female,Fashion accessories,29.23,8,245.53,Credit card,5.0
A,Yangon,Normal,Female,Health and beauty,83.66,4,351.37,Credit card,5.9
A,Yangon,Member,Male,Health and beauty,32.04,8,269.14,Credit card,9.1
A,Yangon,Normal,Female,Fashion accessories,61.81,7,454.3,Cash,6.4
A,Yangon,Member,Male,Sports and travel,29.7,9,280.67,Cash,4.3
A,Yangon,Member,Female,Electronic accessories,82.13,9,776.13,Credit card,7.6
B,Mandalay,Normal,Female,Electronic accessories,76.93,8,646.21,Cash,5.6
A,Yangon,Normal,Female,Fashion accessories,31.53,8,264.85,Ewallet,8.3
A,Yangon,Normal,Female,Home and lifestyle,90.37,2,189.78,Ewallet,4.9
B,Mandalay,Member,Male,Health and beauty,47.34,6,298.24,Credit card,6.8
A,Yangon,Member,Female,Sports and travel,91.44,10,960.12,Credit card,4.1
C,Naypyitaw,Normal,Female,Health and beauty,94.85,5,497.96,Cash,9.1
B,Mandalay,Member,Female,Electronic accessories,34.56,8,290.3,Ewallet,6.3
C,Naypyitaw,Normal,Male,Sports and travel,92.76,10,973.98,Credit card,4.2
B,Mandalay,Member,Male,Fashion accessories,48.58,8,408.07,Ewallet,4.3
B,Mandalay,Normal,Male,Sports and travel,39.42,7,289.74,Cash,8.5
B,Mandalay,Normal,Male,Sports and travel,11.74,9,110.94,Ewallet,10.0
B,Mandalay,Member,Male,Fashion accessories,13.62,1,14.3,Ewallet,5.2
A,Yangon,Member,Male,Electronic accessories,52.62,2,110.5,Credit card,9.7
B,Mandalay,Normal,Female,Electronic accessories,64.53,2,135.51,Ewallet,9.8
A,Yangon,Member,Female,Food and beverages,70.96,7,521.56,Cash,9.6
A,Yangon,Member,Male,Health and beauty,72.75,5,381.94,Credit card,7.6
A,Yangon,Member,Female,Food and beverages,48.55,6,305.86,Ewallet,7.0
B,Mandalay,Member,Female,Sports and travel,19.5,6,122.85,Credit card,9.3
B,Mandalay,Member,Female,Electronic accessories,76.04,5,399.21,Credit card,8.8
C,Naypyitaw,Normal,Female,Sports and travel,84.32,10,885.36,Cash,5.9
A,Yangon,Member,Female,Sports and travel,31.95,8,268.38,Credit card,7.7
B,Mandalay,Normal,Male,Sports and travel,86.59,3,272.76,Cash,5.3
B,Mandalay,Normal,Female,Food and beverages,73.11,5,383.83,Credit card,4.1
A,Yangon,Member,Male,Fashion accessories,46.58,9,440.18,Ewallet,8.1
C,Naypyitaw,Normal,Female,Health and beauty,18.37,4,77.15,Cash,8.2
B,Mandalay,Normal,Female,Food and beverages,57.78,7,424.68,Credit card,7.3
B,Mandalay,Normal,Female,Home and lifestyle,32.63,2,68.52,Credit card,5.2
A,Yangon,Member,Male,Electronic accessories,76.47,5,401.47,Credit card,7.5
C,Naypyitaw,Normal,Male,Electronic accessories,36.66,6,230.96,Ewallet,5.8
